Name,ID,number of warnings,Reason,Date (YYYY-MM-DD),Expiry - 60 / ∞ / ∅
((X-TFTLC)) Monoko,326126445925498880,,Server shill with @ here,2018-06-17,
Realizations | logic,128994376692137985,,Jokes about herpes,2018-06-17,Joined with raid invite
Mushr00mkingdumb,455137974644899842,,everyone ping,2018-06-23,
derek,203652143327084544,,"Talked about Sans' heinous ghost whopper in chat, kept insisting he was Sans",2018-06-25,
ThatOneAlligator,382989386058563584,,Suicide jokes in newhome,2018-06-25,
ThatOneAlligator,382989386058563584,,shilling in newhome,2018-06-26,
wizard,167111259584462848,,distributing fake pirated copies of undertale without explaining that so it's like how were we supposed to not know he was distributing warez,2018-06-26,
Shadow Ink,454442944464945154,,shilling,2018-06-26,
Shameimaru Aya,368962889182085131,,"Rule lawyering, baitposting.",2018-06-28,
Specas24,287545785044697088,,"Role-begging, roleplaying in <#120330239996854274>, rape jokes, refusing to read <#278763477831516161>",2018-06-28,
***Killer_Sans***,425027322786349057,,Spamming emojis in <#324642291044057099>,2018-06-28,
<NSA>,458819911007993876,,everyone ping,2018-06-28,
Nøt Tøday,456530040218320906,,saying dead chat in <#120330239996854274>,2018-06-29,
Bob636369,288046371649486848,,everyone pinged thinking it was staffs job to entertain them,2018-07-02,
Weegee9991,279642715275264000,,Used an everyone ping trying to find people to play fortnite,2018-07-03,
Bob636369,288046371649486848,,posting memes outside of trashcan even when warned not to,2018-07-03,
Bob636369,288046371649486848,,posting memes outside of trashcan even when warned not to again,2018-07-03,
Mango,464074923472846858,,Pointless trolling about hollownight in newhome,2018-07-04,
Ugandan Sans,332833628721774592,,spam,2018-07-05,
TheGreatBobby,438845537668825098,,here ping,2018-07-06,
Nutted Mike Wazowski,364065213814669313,,Glorification of suicide,2018-07-06,
James3424,464584463465185322,,Posting a large chunk of flowerbed in newhome randomly,2018-07-06,
UnrecognizedTalent,412293980383084546,,continued emote spam after being told to stop,2018-07-08,
🤔🍆Daddy JJ🍆🤔,202937766491848704,,Picture of SpongeBob sucking Patrick's dicc in trashcan,2018-07-08,
nasso,223874511567716353,,cropped porn,2018-07-08,
Hapz_,199031342313242625,,Rolebanned for arguing in <#120331891185287171>. Warninged for continued arguing in <#454680849313693699>.,2018-07-10,
Hapz_,199031342313242625,,Rule 6 Violation: Argued about why the gaster role's requirements exist in the first place when he doesn't even understand it,2018-07-10,
shrek the ogre knight,301701394199478272,,continued posting memes in newhome after being told not to,2018-07-13,
Kepe,298556403402932234,,School shooting meme in trashcan,2018-07-14,
Undyne,436545887527763988,,Shill in newhome,2018-07-16,
Diamond_Operations,438139117080018965,,making a suicide meme and not even finding the right channel,2018-07-17,
PrupleLizrard23,300682463284297746,,Shitposting in <#194627177013182465>,2018-07-17,
Kome,311218951377911808,,"Posted a transphobic meme in trashcan, pardon my Tumblr",2018-07-19,
ya_boi,430639062479798272,,shill in newhome,2018-07-23,
MarshalGaming,273861145008406529,,shilling in newhome,2018-07-23,
arceus vega,468544038975307785,,DM shilling,2018-07-25,
morsesgamingØgo,374256142169407488,,suicidal stuff,2018-07-25,
Hollystar2004,472213694554570763,,Harassment; repeated friend requests,2018-07-27,
Prungoid,470783223786504192,,Shilling through newhome AND DMs,2018-07-27,
Ban Kulin,273861145008406529,,DM shilling,2018-07-27,
captaingoosehead,254346360654921728,,Shitposts outside trashcan,2018-07-29,
[***尼羅快遞***],299397935647424514,,Perry x Doofenshmirtz mpreg right after being told not to post NSFW/Fetish art,2018-07-29,
Flowey,461948330076012544,,"Posting memes in newhome again, even after being warned not to",2018-07-29,
SoulDragon969,224147200744095744,,also was posting memes in newhome,2018-07-29,
Flowey,461948330076012544,,"Shitpost outside of trashcan, again",2018-07-29,
Hydraphobic,461948330076012544,,DM shilling/harassment,2018-07-30,
KnightSmith,193424429630357504,,Shitposting everywhere but trashcan,2018-07-31,
justin,290258852698390529,,Shilled after being told he couldn't partner servers,2018-07-31,
memesnotdreams,440313032418131977,,"Naked Sonic in mediaclub, shitpost outside trashcan",2018-08-01,
Michael Hunt,433042287480799233,,Spamming the sans bad time emoji,2018-08-01,
Sans the skeleton,425027322786349057,,Derail with cropped porn,2018-08-01,
Hailwulf,410982464933330966,,Very nasty and aggressive behavior,2018-08-03,
Irradiated Death Lizard,439373786077331456,,Threatened to post gore in chat,2018-08-04,
iluvsans223,259113257191604225,,Spamming in the gaming chat and then threatening moderators in judgmenthall.,2018-08-04,
SpringTrap,474989972542193665,,shill in newhome,2018-08-04,
AntiVirusSans,475306411392237568,,Shilling,2018-08-04,
AntiVirusSans,475306411392237568,,Server shill.,2018-08-04,
Killer Chara,475475384368889857,,Trying to mention @ everyone,2018-08-05,
spazzxd,317388986983120896,,"Wall of text...err, wall of *no* text",2018-08-07,
Noble,293073086591533056,,Posting porn.,2018-08-10,
TheAveragePxtseryu,115459908215767041,,Responded to verbal warning with 'no u' after posting contextless embed,2018-08-12,
Zeyphr,167093492424769538,,Kept berating Gnawms despite several demands for her to stop,2018-08-12,
pinto like the bean,291348210654511104,,shitpost outside of trashcan,2018-08-22,
Западная Виргиния,436251626831872000,,Utter douchebaggery,2018-08-22,
Clove,186274377459826689,,Enticing people to raid and spam NSFW images. (Rule 1C violation.),2018-08-23,
rinktest505,482171375042297856,,Spamming a FNAF video in every room,2018-08-26,
Baldi,325428482958032896,,"Ban-begging in newhome, a long time ago",2018-08-28,
trizor,382287829121630218,,shilling in trashcan,2018-08-30,
OS! Sans/Empty/Hype,422293505356857345,,Insulting other users and using <#120331891185287171> as a general chat,2018-09-01,
Cradisorn,270924966625673226,,posting a giant ascii art in newhome,2018-09-01,
SansTheSkeleton,480696815486763018,,Repeatedly spamming referral links in every channel.,2018-09-02,
TheAveragePxtseryu,115459908215767041,,derailed by posting random embeds in newhome,2018-09-03,
Yall Are Weebs 2.0,221664770942566401,,Randomly mentioning people who's usernames start with A,2018-09-03,
hawkkaz,465508777550938122,,Spamming in trashcan,2018-09-04,
borger,344273597612818444,,Everyone ping in undercade,2018-09-05,
fr0sk,442712724296695810,,Queued up exceedingly vulgar song in <#168425600342556673> and then proceeded to parade it around the server like it was something to be lauded,2018-09-07,
Lukeisthenewluigi,476426064130736128,,Shilling a server,2018-09-07,
fr0sk,442712724296695810,,Disrupting conversations with random emojis.,2018-09-08,
fr0sk,442712724296695810,,School shooting meme in <#324642291044057099>,2018-09-08,
mlg360noskp,487311207959756810,,"Contextless images, argued with staff",2018-09-09,
MLG KING DICE,448297195570200577,,spamspacito,2018-09-10,
Yeeeeeeeeeet,461705731264217098,,Posting Nazi Memes,2018-09-11,
Meme-boi,310851584646971393,,"Using wingdings in chat, replying 'no' in wingdings when told not to, replying again with 'frick off' in jug",2018-09-12,
Solid Snake,224616554099113984,,purposefully trying to 'trigger' people with offensive memes,2018-09-15,
Furry_Boi,481269970635063316,,Shilled,2018-09-15,
Asriel,362376950989455362,,Spamming in <#120330239996854274> after several warnings,2018-09-16,
Sans,475233774943338506,,"Roleplaying in Newhome, spamming wingdings in newhome, and telling a mod to ""shut the fuck up"" in newhome",2018-09-16,
GageTheGamer,480454460523544596,,"Kept spamming emotes, then talked back at staff when asked to stop",2018-09-18,
UnderBrawler,478530686018650113,,shilling,2018-09-19,
>CrownHunter<,479584060906143766,,shilling,2018-09-19,
AmosThyFish,492022778103332864,,"gay slurs in trashcan, making people uncomfortable despite calls to stop",2018-09-19,
S̷̿̏a̷̛͒͐̉͝N̵̋i̶̛̇̀T̸͉͑̔͠y̸̍͗͋,263474039941496843,,"Suicide jokes in <#324642291044057099>, had to be told at least 3 times before",2018-09-21,repeat offender
SansTheSkeleton123,493227548990373899,,Posting shitposts outside of <#324642291044057099> and derailing <#120330239996854274>.,2018-09-23,
LHM12,214234714729480192,,here ping,2018-09-23,
TinkerStick,442429052754853909,,Attempted to ping everyone the moment they joined,2018-09-29,
ninjagamerleo,486613759482134529,,Trying to mention everyone,2018-10-01,
gigan私はそれを笑った,494151513300533278,,attempted everyone ping,2018-10-01,
Picturized,356573640680144896,,Posting borderline NSFW in newhome,2018-10-03,
Sans and Papyrus,281790599651131392,,Ignored rules due to being unable to see them,2018-10-05,
Madkittygaming,482370980073832470,,shitposting outside of trashcan after being told to move to trashcan,2018-10-07,
gamer,357672415150735360,,Trolling in newhome regarding incestuous/pedophilic ships,2018-10-07,
emerald,196651306578870272,,Repeat offense of 'No NSFW Avatars' rule,2018-10-08,
emerald,196651306578870272,,Same as above.,2018-10-08,
HeartBoundFan,454645419431952387,,Shilling in home,2018-10-11,
Average cat,500139884388941835,,Shitposting in newhome after having been asked to stop several times over.,2018-10-12,
Average cat,271416707732602880,,Shitposting in newhome after having been asked to stop several times over.,2018-10-12,
HyperAzzy,271416707732602880,,Randomly shitposting in newhome again,2018-10-14,perma ∞
GamerStyle,501838287179350043,,called the creator of smolbot a f-slur after it just stopped a raid,2018-10-18,
krave,331014778984202242,,random annoying shitposting in newhome,2018-10-21,
Pebble,241371259097579520,,random annoying ms obama shitposting in newhome,2018-10-21,
shugbear8bit,463152167373766688,,posting the same message in every channel they could,2018-10-24,
xander jackson,502204229512069121,,repeated shilling,2018-10-25,
Adair,419364597947170826,,trying to use @ everyone,2018-10-30,
Squid,508068825091014660,,"Inviting a user who started spamming, later got banned",2018-11-03,
chicanon,317519641343819776,,"called another user autistic, as an insult",2018-11-03,
MisterPotato,234112786555207680,,deltatrash spam,2018-11-03,
Epic Sans Gamer Man 100,295755439537258497,,nsfw in trashcan,2018-11-04,
Sneeky Snek#3657,500798849011679233,,Spamming an image in multiple channels multiple times.,2018-11-04,
DaddySans#1337,168254301230071808,,Spamming emojis in <#194627177013182465>,2018-11-05,
Nleoln,507310229130706945,,period spam,2018-11-07,
Klein Holland#5068,463779069176315915,,unsolicited DMs,2018-11-07,was asking to send Tori nudes
InfiniDIE,509790096145514506,,"Repeated derailing in Newhome, Non-cooperative with staff.",2018-11-08,
JT,371366145426718722,,keeping on posting a communist anthem playlist in the deltarune/ut channel after being told not to,2018-11-11,
SlappyTheDummy,509387121455529986,,shilling in dms,2018-11-13,
dogitis#7664,491736144577560576,,Repeated,2018-11-16,spam
undєrtαlєх,489370880879624203,,emote spam,2018-11-17,
Dqwk11#3299,345433262304264195,,Posting memes in <#120330239996854274> after being instructed not to by a moderator.,2018-11-17,
Meme-Chan#1940,353656370127568897,,Literal image spam for the umpteenth time.,2018-11-19,
Capt#4328,224217906643206145,,Attempting to find weaknesses in Flowey's message deletion capabilities.,2018-11-19,
achoo,271348115171180554,,everyone ping,2018-11-19,
Dipper_YT#2785,501808499592790046,,"Emoji spam, uncooperative with moderators",2018-11-19,
GuNMouTH#1711,161348502570532865,,Everyone ping in newhome.,2018-11-19,
mireactive the mierlark#0398,414256779111694346,,Persistent spam and derailment in Newhome,2018-11-21,
zaphodsheads#4839,199935397143248898,,Lancer Chatbox spam in newhome after being asked to stop by Orangestar,2018-11-23,
CrunchyCroissant,499690110774935583,,"game theory video spam, screaming in all caps",2018-11-24,
PhotoNegative Nassar,506346398099308556,,"Emote spam, told staff to die when told to stop",2018-11-25,
Erik 🐢,428699023113715712,,racial slur,2018-11-25,
Erik 🐢,428699023113715712,,Constant stream of vapid nonsense immediately after previous roleban,2018-11-25,
Felix. L,299338133231763467,,"toxicity, pedophilic remarks",2018-11-26,
Aonator,337650389254144021,,posting a very descriptive paragraph about fucking dogs or something,2018-11-26,
Erik 🐢,428699023113715712,,Constant shitposting in <#120330239996854274>,2018-11-28,
SuperRobbie,255035269407834118,,Continuing a conversation in # mediaclub after being told to stop,2018-11-29,
Khagan_Massin,465600323935797289,,Text art in trashcan,2018-12-01,
rentata,276847629814726658,,shilling,2018-12-01,
FestiveGuitar,177013899177099264,,everyone ping,2018-12-01,
PhotoNegative Nassar,506346398099308556,,Emoji spam and weakly-related remarks to the point of derail. Has been warned multiple times.,2018-12-01,
T-SquaredProductions,223180533067284481,,Repeatedly posting the same thing after being told to stop by multiple moderators.,2018-12-02,
RareBeeph,318505902468628480,,Botspam in trashcan,2018-12-02,
Chris Likes Carnage,513466127817637889,,Jumped into chat talking about Sans' sexual escapades,2018-12-03,
DustSansGaming,503892831203491840,,Spamming the Lancer head emote,2018-12-03,
whatspoppin,419090393565495298,,copypasta telling us to subscribe to a youtuber who isnt relevant anymore,2018-12-04,
ShugBear_HollyJolly,463152167373766688,,spam-pinging someone,2018-12-04,
schlorb,471327251393150986,,micspam,2018-12-05,
【スペース】,313829944985649154,,micspam,2018-12-05,
Temmie,402659707560525825,,Posted images and comments proving they had pirated Undertale.,2018-12-05,
aeiouy,517482006301638676,,NSFW text post in newhome,2018-12-05,
Scarce,484428239738241027,,Continued posting emotes after being told to stop,2018-12-05,
NoSkillMan,437534417804853248,,continued posting emotes after being told to stop,2018-12-05,
Merry Kris-mas,345706196977844227,,Everyone ping,2018-12-06,
A Fancy Duck,249767055648227329,,"Incessant trolling, even when told to stop",2018-12-09,
Rafc,486928741965103104,,german spam,2018-12-09,
MechanicPluto24,320974635925504000,,"Taking out his anger on other members, telling one to fuck themselves",2018-12-09,
mettaton,428551580334424064,,"Spam in newhome, refused to comply with moderator requests in jug",2018-12-10,
Pignite772,249601177887571968,,sans gaming spam,2018-12-11,
swordpepi,364113327087026179,,Derailment with emotes,2018-12-14,
freddyash10,490197694443159572,,DM shill,2018-12-14,
AsrielNyx [Garrus Gang],506716922776387594,,"attempting to derail, fought back aggressively when told to stop",2018-12-15,
Way~,299391306298425355,,Extreme venting/expressed desire to kill self,2018-12-16,
MasterDwarf117,408769806699855876,,"Posted memes in <#506854523818475531> , did not read rules",2018-12-16,
MetellaStella,329383982942650370,,"belligerent in jug, posted memes in <#506854523818475531> ",2018-12-16,
Way~,299391306298425355,,Repeatedly changing nickname to be difficult/impossible to mention despite moderator intervention several times.,2018-12-16,
kennedy,318655321029738506,,Racism and trolling.,2018-12-16,
kennedy,318655321029738506,,Posted literal shit,2018-12-16,
dusttale sans,488586441962815500,,"posted artwork multiple times without providing source when told not to, arguing about rules being too strict",2018-12-16,
ElectroElectra,445939340292522004,,"`ded chat`, trying to roleplay/be vapid in newhome",2018-12-17,
ElectroElectra,445939340292522004,,"Further vapidposting, zero behavior change after release last time.",2018-12-17,
Tigeski,199385384944140288,,Derailling after a specific warning against derailling by a moderator,2018-12-18,
MubbZ14,476854539958353940,,Baitposting,2018-12-19,
ukuleleninja,221678693922242560,,Noncooperative in jug after being put there for rule 5 problems.,2018-12-20,
RelaxedTuba27,466023427787194388,,"pinging for ever message to someone, pinged again when told to stop",2018-12-21,
Zap,300923168481083392,,Venting in newhome and refusing to comply with moderator requests to stop. Tone policing.,2018-12-22,
King1806,438528155825733633,,Shilling,2018-12-25,
Toilet Paper,479720579780313088,,Attempted everyone ping,2018-12-26,
TheSpiceIce,363800395455397889,,posting very risky nsfw stuff,2018-12-26,
IgorM,510474011701149706,,posting very risky nsfw stuff,2018-12-26,
Draw,300389249482620939,,Stupid character spam after being told to stop by multiple server members and staff.,2018-12-29,
temmie,524748965271306241,,"Roleplaying in newhome, said no when told to stop",2018-12-30,
my_dog_luke2Ø,431559345596268550,,copy pasta,2018-12-31,
Crumbled Sanity,257564812400263168,,Derailling in newhome by talking about someone who was just banned for derailling.,2018-12-31,
🍕Smiirky🍕,331443554465349633,,spam,2018-12-31,
╲⎝⧹╲⎝⧹i P i r a t e T v⧸⎠╱⧸⎠╱,517736732217573386,,non cooperative in jug,2018-12-31,
sad cweepa,274669297375117312,,shilling,2019-01-02,
Steve074,529320679598718988,,spam,2019-01-02,
Xxmckenzie_gachaxXYT,527570942478778379,,Advertising server,2019-01-02,
the power armor goe,529586608685449236,,posting random emojis after being told not to post them,2019-01-03,
Ȃg̨n̴o᷄s̽t̏i͆c̹,505085987731537921,,"Unmentionable name/nickname, refused to comply with moderators when they changed it for them",2019-01-03,
Groot,510876574904483841,,Spamming in trashcan and elsewhere.,2019-01-04,
Shadead,501460432163176458,,posted emoji even after warning,2019-01-05,
qwerty529,508268091575369738,,posted emoji even after warning,2019-01-05,
VeryScaryDangoThatLikesPanta,109030493873270784,,posted emoji even after warning,2019-01-05,
qwerty529,508268091575369738,,Spamposting in newhome immediately after a previous roleban,2019-01-05,
TheNewOrchestra,187619237987090433,,unnecessary drama in <#148960889540837376> ,2019-01-05,
sanstheskeleton223,531554250149593088,,emote spam,2019-01-06,
qwerty529,508268091575369738,,Memes and vapidposting,2019-01-07,
sans,524254227543883787,,"All sorts of spam, being annoying",2019-01-08,
Sakuri~,506131832874598411,,"All sorts of spam, being annoying",2019-01-08,
W.D.gaster,524459372202426368,,wingdings,2019-01-08,
❰𝐆𝐀❱ STARS,334798893479100416,,Derailling multiple times in newhome with gross images and memes.,2019-01-11,
Littlemare,463931474517819398,,Posting contextless images in newhome,2019-01-11,
Kit-Kat,505480011881381899,,Bot abuse,2019-01-11,
Goofed,422942631283392514,,pedophilic remarks about asriel,2019-01-11,
👑RT👑cj,505892070351831040,,Derailing <#120330239996854274> after getting tossed for doing just that.,2019-01-12,
👑RT👑cj,505892070351831040,,Derailing #newhome after getting tossed twice for doing just that,2019-01-12,
bepis,531033648045096990,,DM Shill,2019-01-12,
👑RT👑cj,505892070351831040,,Derailing chat,2019-01-13,
Dalton,491745731531636759,,Repeatedly quickdeleting dodgy shit,2019-01-13,
Chara,533794517845934080,,"all-caps messages, derail",2019-01-13,
Be as it may I require lasaga,326591635356123136,,Shitposts outside of trashcan,2019-01-13,
Catareachkon,211976790858530816,,Repeatedly sending the same image in trashcan for days,2019-01-14,
KingChespin1,342033928346927116,,Spammed flashing animated emotes,2019-01-16,
Eti T-Utku But Cat,414069937057955860,,Single character spam in newhome,2019-01-17,
squiddy,530667809479589888,,posted pedo/loli memes against staff instruction,2019-01-17,
Its Me. ConnorTheEpic.,395334679466737664,,Repeated derailling after requests from several moderators to stop,2019-01-19,
Red Bobby,176494362048462849,,large ascii art in newhome,2019-01-21,
Draw,300389249482620939,,spoiling stuff for someone who joined and asked where the 'no spoilers' channel is,2019-01-22,
Mr.BadBan,405876291733291020,,emote spam,2019-01-23,
5656647476758575,521141339119812609,,Started talking about incest porn in <#120330239996854274> among other R-rated topics,2019-01-27,
Ari the G.O.A.T.,487684405792473088,,Advertised their YouTube channel to win a bet,2019-01-27,
Khagan_Massin,465600323935797289,,More text art in trashcan,2019-01-28,permanent ∞
Vito,483402396320661504,,Not taking the age rule seriously and joking about violating ToS by doing so.,2019-01-30,
yoshi32,332241481785933824,,"Vapidposting and RP in newhome, did not stop when requested by a moderator.",2019-02-03,
Chara,351301250597257217,,"Repeatedly pinging users about the Minecraft server that died years ago and asking them why it's down, including the entire staff team via ping at least once.",2019-02-03,
Chara Dreemurr,532400897662386176,,Giant ascii post (spam),2019-02-03,
𝓓𝓮𝓴𝓾,270137632506380288,,nsfw in <#324642291044057099>,2019-02-05,
Khagan_Massin,465600323935797289,,emoji spam,2019-02-05,
a girl 360,542072757110964265,,DM harassment,2019-02-05,
*No*®™ SM,377247152730013707,,Inappropriate statements in newhome,2019-02-06,
FlicksMeme,398034065552441344,,reaction spam,2019-02-06,
ANFORTNITEHATER29,531771548210823189,,vid spam,2019-02-07,
Khagan_Massin,465600323935797289,,gun to head meme/sensitive meme,2019-02-07,
JackSack,345457332056227842,,shill,2019-02-07,
Grumpletonian,470349246487330828,,"Blathering on and attention-seeking in newhome, did not stop when told to do so by a moderator.",2019-02-08,
Grumpletonian,470349246487330828,,Spamming 'how old are you' over and over,2019-02-10,
Epsilon,224146477226786817,,Holocaust jokes,2019-02-11,
sad yee haw,337451515411431426,,Shitposts in <#120330239996854274> after instructed to go to <#324642291044057099>,2019-02-11,
Draw,300389249482620939,,"Shitposting in home, then derailling newhome to draw attention to said shitposting.",2019-02-11,
Epsilon,224146477226786817,,Continued with emoji spam after being told to stop by a moderator,2019-02-11,
A Fancy Duck,249767055648227329,,Repeated derailling in newhome,2019-02-11,
imthesipcycheeto,486723149963067402,,Spamming,2019-02-11,
TYM MagMa,383699297532903444,,"Emoji spam after being told not to be a moderator, noncooperative in juy.",2019-02-11,
TYM MagMa,383699297532903444,,Repeated derailling,2019-02-11,
sir savage the 21st,491330565199364106,,Spamming newhome with foreign language text and derailling conversations.,2019-02-11,
AnimationAntics,518075708136882217,,Vapidposting and spamming,2019-02-12,
AnimationAntics,518075708136882217,,Lying about their age in jug (not underage).,2019-02-12,
BeegYoshu,545025417283764244,,Literal hours of shitposting and image spam in newhome after being told not to by a moderator.,2019-02-13,
NicTube,280282489686327296,,"Repeatedly asking when Deltarune will be released even after being answered multiple times, and being told to stop multiple times.",2019-02-13,
NicTube,280282489686327296,,Meme spam in <#454680849313693699>,2019-02-13,
NicTube,280282489686327296,,Continued meme spam in <#454680849313693699> . Oh well!,2019-02-13,
soulreaper278,499201956250779648,,spam,2019-02-13,
CPaul09,185615053276315648,,Causing trouble when told to stop violating Discord ToS.,2019-02-15,
Your local meme dealer,260507828580646912,,Everyone ping and ASCII wall,2019-02-18,permanent ∞
T R é Z Z Y,275798350849376256,,sensitive meme,2019-02-18,
MemeStar [Bot],456894875896512514,,purposeful spam,2019-02-18,
SoulS_24,544633593574588449,,@ everyone mention attempt,2019-02-18,
Computee#1466,507079397178605568,,Extreme rudeness in #art-share.,2019-02-18,
Computee#1466,507079397178605568,,Natter and flooding in #art-share.,2019-02-18,
Asum#9234,282298838151331846,,Natter and flooding in #art-share.,2019-02-18,
Computee#1466,507079397178605568,,Incessant minimodding.,2019-02-18,
BKS,461393615101362177,,Everyone ping in musicbox of all places????,2019-02-19,
XXXTĒNTÃCIØN THË ÃNĪMË LØVER,436931895469670401,,weak baits,2019-02-19,
TheBlazee,441263109676597274,,441263109676597274,2019-02-20,Rule 5 violation: Arguing with a moderator.
TheBlazee,441263109676597274,,Rule 6 Violation: Rules lawyering.,2019-02-20,
TheBlazee,441263109676597274,,Rule 5 Violation: Arguing with a moderator.,2019-02-20,
United States Armed Forces#4017,363058737365254154,,Earrape in VC.,2019-02-21,
SupernovaMilkshake12#5002,354756035803742218,,NSFW collaborative fic in trashcan. Really.,2019-02-21,
"Ey, Yui! [gbcam gang]#2236",517482006301638676,,NSFW collaborative fic in trashcan. Really.,2019-02-21,
charmander,548205659263598592,,Continued RP after being told not to,2019-02-21,
Universal Dirp,533033697138704384,,server shill,2019-02-22,
Fortnite Pro,288496205992820736,,Spammed invite to server,2019-02-22,
merk#8449,447548574683758592,,NSFW gifs.,2019-02-22,
drunk peter gote man,485086970872332288,,"ASCII art of sans in newhome, unruly in jug",2019-02-23,
Arataka Reigen,336588686797832192,,Continued RP in newhome after being told to stop,2019-02-23,
Arataka Reigen,336588686797832192,,Immediately posting vapid ellipses after a mod said not to do that.,2019-02-23,
Baguette (Bag),351846676383924225,,Big wall of text art,2019-02-24,
drunk peter gote man,485086970872332288,,"spam, uncooperative in jug",2019-02-24,
「AreThoustFuckingKidding」,370088903736033282,,slurs,2019-02-24,
-♫ Blobbo ♫-#6969,193789388034015232,,Rule 2 violation on topic of attempted user suicide.,2019-02-25,
Sanster,549626969466208266,,Server shill in home,2019-02-26,
Sanster,549626969466208266,,Emoji spam after being told to stop by a moderator.,2019-02-26,
DarkVenom,532017133237043200,,Discussing piracy and repeatedly asking for help with a pirated game in newhome.,2019-02-27,
Will Smith,527246283518377995,,chain post,2019-02-27,
[Pope Of Floof]Floofy Ghost Boi#3705,496344100862165054,,Highly disruptive behaviour.,2019-02-27,
Sans,486317057252524082,,"Shilling server, wasn't caught the first time",2019-02-27,
"ThoSE CoulD Be LyrICs
#1317",486821755655290880,,Repeat offense - Spamming,2019-02-28,
Mega-Banette,438752107240357888,,Posted a spooky spam skeleton,2019-03-01,
syd gang,272906208694763535,,Previously banned for posting a swastika on join ,2019-03-02,permanent ∞
Moh,473878860761661440,,Repeat offense: Spam,2019-03-02,
🌈john☂#1337,273796384417906688,,Spamming contextless swear words in the undertale discussion channel.,2019-03-03,
🌈john☂#1337,273796384417906688,,Toxic attitude and derailing in the undertale discussion channel.,2019-03-03,
⎝╲⎝⧹⚡The Ultimate Lifeform⚡⧸⎠╱⎠,297818286723170315,,Vapidposting and deliberately causing trouble through antagonistic behaviour in <#506854523818475531>. ,2019-03-03,
undertale katie,434040299514232833,,spam,2019-03-03,
Pixelmaster13#4743,318101341467705347,,"Consistent rudeness towards another user, despite mulitple requests to stop.",2019-03-04,
NubletnoahYT,507449868944670720,,Repeated derails,2019-03-05,
WolfHeartAurora#6332,232634492760752139,,Posting NSFW imagery.,2019-03-05,
xXPOTATOXx,552562930256969738,,shill on join,2019-03-05,
Chris- MEMES,552563299162521601,,NSFW meme in trashcan,2019-03-07,
NoNoNoah,318601080902516737,,nsfw messages on join,2019-03-07,
Endergirl517#7267,477261361563303938,,Toxic attitude during argument.,2019-03-07,
ShadowGamer,421346098913738773,,Shitposting in newhome after being told to stop by a moderator.,2019-03-07,
moutabbal,552911604166164506,,Chatspam,2019-03-07,
Doc of combo,426292840595849216,,"Repeated derailling (we do have more than one channel you can use, you know...)",2019-03-07,
Sansácional,469957393095065600,,shilling in newhome,2019-03-08,
sleepdeprivation181,429330059522867210,,"Literally posting a pedo fanfic
for real",2019-03-09,
hades,285800120048418816,,NSFW post (rape),2019-03-10,
Subs,329990417590255617,,spoiler spam,2019-03-10,
frisk,553853769088237569,,emote spam in <#507736422556631040>,2019-03-11,
frisk,553853769088237569,,server shill in DMs,2019-03-11,
frisk,553853769088237569,,"Random, unsolicited DMs with another user.",2019-03-11,
Slippo#6410,193913681594023936,,Stirring the pot and inciting conflict with other users.,2019-03-11,
khajiit,354789042732400650,,NSFW in trashcan,2019-03-12,
khajiit,354789042732400650,,"This warning was assigned due to NSFW in trashcan (before previous warning), which I (Meagus) have deemed worthy of a second formal warning due to the repeat that generated the first warning.",2019-03-12,
Robber dog#7102,419972455961198602,,Shitposting outside of trashcan repeatedly.,2019-03-12,
Glitchsans2798,513958825582395413,,Lengthy chain post in trashcan,2019-03-12,
Mona from Geno 5,305529715194593280,,"Suddenly trying to argue for lolicon in <#324642291044057099>, wouldn't stop until tossed",2019-03-13,
rax,490628200301592586,,Cropped Hyperdeath Asriel porn,2019-03-15,
AsrielNyx ☭#1868,506716922776387594,,Trolling and stirring the pot during a discussion about a mass shooting.,2019-03-15,
Spuryo,297809180725870594,,subscribe to pewds spam,2019-03-15,
TheEliteGojira,490245162023518209,,Posted a shooter meme after the Christchurch terror attack,2019-03-15,
LordKitsune#6969,457274485146648597,,"Disgusting takes on a mass shooting event, stirring the pot.",2019-03-16,
Tremono,327931843078914062,,Trolling on join,2019-03-16,
sarah,82303438955753472,,Joking about the Christchurch shootings,2019-03-16,
strix holdmybeer,491330565199364106,,Trying to start up discussions about the Christchurch shooting despite the current ban.,2019-03-16,
Blitzkrieg#6278,250674614060056576,,Posting inappropriate memes in <#324642291044057099>.,2019-03-16,
OneBlueBoi,422151389288988693,,"Homophobic remarks, posting edgy shit in newhome occasionally",2019-03-17,
Cazdon,184413819630518272,,Image of Chara engorgin themselves on Tide™ pods in trashcan,2019-03-18,
Dr.Gaster#7794,351813219175890945,,"Consistent and persistent disruptive behaviour, derailing.",2019-03-19,
BritishLasagna,511678252256067597,,Spamming a server invite,2019-03-19,
DistortedGalaxxy,451910956382027776,,Warning for trying @ everyone,2019-03-20,
Medacek#5681,369124850213847041,,"Emoji spam, ignored moderator request to cease.",2019-03-20,
123342,482861385215377408,,shilling twice,2019-03-21,
Funion,529769776395059241,,spamming,2019-03-21,
Insanegrox,283742213895225345,,school shooter joke,2019-03-22,
Sans,371415891444891658,,posted nsfw,2019-03-24,
Epic!Sans#4847,451873484235341825,,"Attempting to utilize a mass ping on join for the purposes of ""testing"".",2019-03-27,
Tiger,157485433222201345,,NSFW memes in newhome,2019-03-28,
