Name,ID,number of warnings,Reason,Date (YYYY-MM-DD),Expiry - 60 / ∞ / ∅
MemesAreGreat123,279364691665354753,,Spamming after being told to stop by both users and a moderator.,2017-02-28,
@𝅳𝅳𝅳𝅳𝅳𝅳𝅳𝅳𝅳#7154,192089454305869824,,"being a general troll, refusing to stop after being told to by mods, using that capslock cruise control",2017-02-28,
isy,138690842696089601,,Violated the privacy of another user by posting screenshots of their DMs in #newhome without permission and for no good reason.,2017-02-27,
ImPuffet.exe,269222967492214784,,Server shill,2017-02-25,
Alabama windchime,283649422737276928,,Toxicity in #newhome.,2017-02-21,
Alabama windchime,283649422737276928,,Continuing to be toxic as well as arguing with staff in #judgmenthall.,2017-02-21,
ColinAV,199586932269776906,,Shitposting in newhome,2017-02-18,
Centurion,238357393728077825,,trying to ping everyone and here twice,2017-02-18,
taciturasa,97788939196182528,,Alting and riling up #newhome,2017-02-17,
Just Gary,221353586477498369,,Posting questionable photography in #newhome,2017-02-17,
Napstaluke,150341930453041154,,Posting a risque image that another user got rolebanned and warned for not a few minutes prior.,2017-02-17,
Megaquake2012,265706414671003649,,Continuing to talk about religion despite being told not to by a few users and staff,2017-02-17,
Ramza,104637294169849856,,"Constantly using NSFW/borderline avatars even after being told to stop doing so, *multiple times.*",2017-02-16,
CreeperCart,243087476057571328,,Posting the same papyrus image 4 times,2017-02-16,
Frisk15383,163086552195530753,,Server shilling,2017-02-13,
InkxTheSquid,122043518544904192,,"Raid riling in #newhome twice after being warned about it, and especially after the entire channel was chided for it.",2017-02-13,
cuteinkysans,250003322096975872,,repeated posting of unrelated embeds,2017-02-13,
a fascist,196934743667900418,,really stupid holocaust jokes and being a general dumbass,2017-02-13,
🕈︎.👎︎. ☝︎✌︎💧︎❄︎☜︎☼︎,235180256703676426,,Continuing to talk about testicles after being told not to,2017-02-12,
TheJoyfulOne,145324966999621633,,Spam in #newhome.,2017-02-11,
TheJoyfulOne,145324966999621633,,Rules lawyering after being Forebodened.,2017-02-11,
Micropachycephalosaurus,247965561470976004,,Server shilling a second time after being told not to,2017-02-11,
USSR BOT,238083758454996993,,Threatening to release dox records upon user join.,2017-02-10,
Pingus dad,247965561470976004,,Continued to shitpost after being told multiple times to stop.,2017-02-10,
SpookyDove,201547911480213504,,Trying to ping everyone then trying to delete the message to cover it up.,2017-02-08,
errorsans,277470012871147520,,"Posting a link to a site taken by domain squatters twice (asking people to check it out for free movies), shilled their channel and did not respond in judgmenthall",2017-02-08,
earthhisflathacked,273956020320206848,,attacking an user,2017-02-07,
Satan,184103135881461760,,Joining and using offensive language in #newhome.,2017-02-06,
crusadercat,265927549920608257,,Refused to stop roleplaying in #newhome after being told to stop by a moderator.,2017-02-05,
crusadercat,265927549920608257,,Continued to argue previous warning with said moderator.,2017-02-05,"Third warning, user was banned."
sans,183105577562537984,,Server shill.,2017-02-04,
Crusadercat,265927549920608257,,DM Harassment,2017-02-04,
「Coda」,266453646923923459,,"Distrupting chat, derailing and been told multiple times to stop",2017-02-03,
asen,81159419722735616,,Extremely rude towards GMs in regards to being banned from roleplay.,2017-02-02,
「Coda」,266453646923923459,,Random embeds in newhome after being foreboden and told not to,2017-02-02,
Blue Wiiu,273248137727049728,,Posted gore of Felix the Cat multiple times in #newhome evenn after being told to stop.,2017-01-30,
Blue Wiiu,273248137727049728,,Distrupting chat multiples times and told multiple times not to,2017-01-30,
asen,81159419722735616,,"Ranting in newhome even after being asked to stop, threatened another user and asked if they wanted to take it to DMs",2017-01-29,User was banned
The Giraffe Banana,261949481799516170,,Randomly DMing a user with harrasment.,2017-01-25,
Bonnie the Bunny,249027101162864641,,Random spam in #truelab,2017-01-25,
League Of Legends Fan,269013674155311104,,Randomly DMing people invites to a server.,2017-01-24,
Abdullahcraft,258916646025035777,,Server shilling in #newhome,2017-01-22,
.|| Core Frisk ||.,270277419850530817,,"server shill, not responding in #judgmenthall",2017-01-21,
asen,81159419722735616,,Going on about Tarzan beastiality in #newhome after being told to stop.,2017-01-20,
Silverstripe,229801242937917460,,Server shilling,2017-01-19,
robloxnoobkiler64,265283763498385418,,Mocked another user in #newhome while being disruptive at the same time.,2017-01-17,Refused to acknowledge the error for a while in #judgmenthall.
milk rice,265157291123277825,,Server shilling in DMs. Kiced for inactivity.,2017-01-15,
HypnotixHyphen,241611459136585730,,Using ateveryone in newhome for a shilled game.,2017-01-14,Did not respond in #judgmenthall.
roroollie123,250024488802975745,,Server shilled,2017-01-14,
blueberry_sansette,269262210222522378,,"Random embeds in newhome, even after being told not to",2017-01-14,
jcvc2000,233606249877340161,,contextless shitposting in newhome even after told not to twice,2017-01-12,
W.D Gaster,235180256703676426,,"Refusing to stop talking about nooses after being told not to, saying its to catch horses",2017-01-12,"Refusing to stop talking about nooses after being told not to,  saying its to catch horses"
W.D Gaster,235180256703676426,,Fighting with another user in #newhome.,2017-01-12,
UndertaleTrash420,259035467331272706,,Fighting with another user in #newhome.,2017-01-12,
Megaquake2012,265706414671003649,,"Talking about religion aggressively despite being told not to (and continuing even after told to stop by staff), going after another user even after being foreboden",2017-01-11,
The_Stargazer,217586226146967552,,Posted massive encoded text strings in #newhome,2017-01-11,
Daniel7689,206027130314686464,,"spamming a youtube link on join, which leads to scamming",2017-01-11,
sinn.sansy,265385034892967939,,spamming a short wall of Ms in newhome,2017-01-10,
bsamdafj,268101403833008128,,spamming ha (as well emojis) and been told to stop severeal times by users and trial mods and mods,2017-01-10,
thunderskyler{lvl18},266315722706255872,,Random memes in newhome,2017-01-10,
NotRemainings,265271097912590337,,NSFW commentary in #newhome,2017-01-09,
Steelchill,217377357919420419,,server shilling shortly after joining,2017-01-08,
CRAWLING IN MY SINS,266934792136687617,,randomly disrupting thew chat with nonsense,2017-01-07,
Hiki,257669355263885313,,Heiling Hitler then acting tough in DMs after being rolebanned for it.,2017-01-06,Kicked for not responding in #judgmenthall after 5 minutes.
genocide,266087093598420992,,Posting NSFW content in #newhome,2017-01-04,
Tαηιѕ,253269784618205184,,Posting Nsfw Soundcloud in #newhome,2017-01-04,
Lukaa,260069518355857410,,Being a conversation-disrupting nuisance in #newhome.,2017-01-02,
Lukaa,260069518355857410,,"Continuing to be toxic in #newhome against multiple users, did not listen when told to stop on previous warning.",2017-01-02,User is banned now.
azza,215427585977483264,,Racial slur in newhome,2017-01-01,
Nate,97002999657795584,,Micspam.,2016-12-31,
Nate,97002999657795584,,Micspammed again.,2016-12-31,
Nate,97002999657795584,,Micspammed for the third time.,2016-12-31,Three warnings. Bye bye.
MoistNipples,263992170065821696,,Refusing to drop the topic of pornography even though it was obviously making other users uncomfortable.,2016-12-30,
MattThePatt,209093109450145792,,"Massive ASCII art in #newhome, then attempted to hide it by telling users to not scroll up",2016-12-30,
P!ain Palkia(UTML),215481013034418176,,"Constantly shilling his ""sans troop"" in unrelated channels.",2016-12-29,"
"
P!ain Palkia(UTML),215481013034418176,,"Droning on and on in #judgmenthall, arguing with mods constantly, generally being annoying.",2016-12-29,
S4lty.boi.v1,142828024885280768,,Posting a link to an NSFW nosleep story in #newhome.,2016-12-29,
SpeedRunningDen Co-Owner,263859618705440768,,Spam on join.,2016-12-29,
